OBJECTID;Neighborhood;LAPD_Cost;LAPD_Days_in_Jail;LAPD_Arrests;LASD_Cost;LASD_Days_in_Jail;LASD_Arrests;F2010_Population;Combo_Cost;Combo_Cost_PerPop;Combo_Days;Combo_Days_PerPop;Combo_Arrests;Combo_Arrests_PerPop;spa;sup_dist;SHAPE_Length;SHAPE_Area
219;Veterans Administration;127561;555;212;120377;802;44;746;247938;3,32357E+14;1357;1,81903E+14;256;3,43164E+14;SPA 5 - West;District 3;8,85143E+14;2,30476E+14
220;Vincent;34476;150;68;2745500;18349;980;9965;2779976;2,78974E+14;18499;1,8564E+14;1048;1,05168E+14;SPA 3 - San Gabriel;District 1;1,90981E+14;3,74251E+14
221;Walnut;17468;76;37;1313460;8490;587;29156;1330928;4,56485E+14;8566;2,93799E+14;624;2,14021E+14;SPA 3 - San Gabriel;District 1;2,80627E+14;2,27887E+13
222;Walnut Park;91706;399;187;2844670;18842;1085;15966;2936376;1,83914E+14;19241;1,20512E+13;1272;7,96693E+14;SPA 7 - East;District 4;7,17043E+14;1,85571E+14
223;West Adams;1374443;5980;2625;932007;6272;315;23349;2306450;9,87815E+14;12252;5,24733E+14;2940;1,25915E+14;SPA 6 - South;District 2;1,02586E+14;3,74695E+14
224;West Carson;124573;542;266;2466900;15981;1088;21699;2591473;1,19428E+14;16523;7,61464E+14;1354;6,23992E+14;SPA 8 - South Bay;District 2;1,26612E+14;5,74784E+14
225;Westchester;645161;2807;1408;626954;4053;280;39168;1272115;3,24784E+14;6860;1,75143E+14;1688;4,30964E+14;SPA 5 - West;District 2;3,03868E+14;2,73039E+13
226;West Compton;86880;378;175;2193410;15103;601;5150;2280290;4,42775E+14;15481;3,00602E+14;776;1,5068E+14;SPA 8 - South Bay;District 2;9,53831E+14;4,17594E+14
227;West Covina;180195;784;386;6021400;39302;2535;103188;6201595;6,01E+14;40086;3,88475E+14;2921;2,83076E+14;SPA 3 - San Gabriel;District 1;6,14748E+13;4,0755E+13
228;West Hills;756174;3290;1700;362473;2160;237;35997;1118647;3,10761E+14;5450;1,51402E+14;1937;5,381E+14;SPA 2 - San Fernando;District 3;2,57821E+14;2,16073E+14
229;West Hollywood;335337;1459;784;1742510;10848;949;34407;2077847;6,03902E+14;12307;3,57689E+14;1733;5,03677E+14;SPA 4 - Metro;District 3;1,77622E+14;4,77501E+14
230;Westlake;6308878;27449;12017;3251760;22083;1017;100789;9560638;9,4858E+13;49532;4,91443E+14;13034;1,2932E+14;SPA 4 - Metro;District 1;1,08613E+14;6,87282E+14
231;Westlake Village;21605;94;54;154296;846;131;6022;175901;2,92097E+14;940;1,56094E+14;185;3,07207E+14;SPA 2 - San Fernando;District 3;1,97175E+14;1,42942E+14
232;West Los Angeles;95843;417;237;39182;235;25;14247;135025;9,47743E+14;652;4,5764E+14;262;1,83898E+14;SPA 5 - West;District 3;7,09503E+14;2,65417E+14
233;West Puente Valley;51484;224;106;7389060;50048;2365;22390;7440544;3,32315E+14;50272;2,24529E+13;2471;1,10362E+14;SPA 3 - San Gabriel;District 1;1,79234E+14;4,69531E+14
234;West San Dimas;460;2;2;1440;6;2;0;1900;;8;;4;;SPA 3 - San Gabriel;District 5;7,33595E+14;8343778518
235;West Whittier-Los Nietos;55162;240;124;7013990;46822;2526;25904;7069152;2,72898E+14;47062;1,81679E+14;2650;1,02301E+14;SPA 7 - East;District 4;2,28374E+14;6,60539E+14
236;Westwood;238114;1036;598;107725;643;70;51485;345839;6,71728E+14;1679;3,26114E+14;668;1,29747E+14;SPA 5 - West;District 3;1,52237E+14;9,29754E+13
237;Whittier;169392;737;358;8485320;55902;3360;84878;8654712;1,01966E+14;56639;6,67299E+14;3718;4,3804E+14;SPA 7 - East;District 4;4,91613E+13;3,72411E+14
238;Whittier Narrows;1609;7;3;18776;115;11;2511;20385;8,11828E+14;122;4,85862E+14;14;5,57547E+14;SPA 3 - San Gabriel;District 1;2,2589E+14;7,33127E+14
239;Wilmington;2844500;12376;5307;6164570;41469;2090;54907;9009070;1,64079E+14;53845;9,80658E+14;7397;1,34719E+14;SPA 8 - South Bay;District 4;4,42518E+12;2,3043E+13
240;Windsor Square;62516;272;135;151926;1033;47;4652;214442;4,60967E+14;1305;2,80525E+14;182;3,9123E+14;SPA 4 - Metro;District 2;5,32628E+13;1,72882E+14
241;Winnetka;1760574;7660;3652;629519;4148;249;48788;2390093;4,89894E+14;11808;2,42027E+14;3901;7,99582E+14;SPA 2 - San Fernando;District 3;1,54788E+14;1,21045E+14
242;Woodland Hills;1190801;5181;2841;676836;4181;382;62339;1867637;2,99594E+14;9362;1,50179E+13;3223;5,17012E+14;SPA 2 - San Fernando;District 3;3,27354E+14;3,73999E+14
243;Westside South Central;38104024;165785;71461;55878600;373501;19926;498465;93982624;1,88544E+14;539286;1,08189E+14;91387;1,83337E+14;SPA 6 - South;District 2;6,76324E+14;8,65887E+13
244;Eastside South Central;21803772;94865;40250;64233300;434327;20863;349795;86037072;2,45964E+14;529192;1,51286E+14;61113;1,74711E+14;SPA 6 - South;District 2;4,25389E+14;5,2122E+14
